"Frage","Antwort"
"Was ist eine Bus-Topologie?","Alle Geräte teilen sich ein gemeinsames Übertragungsmedium."
"Was ist eine Ring-Topologie?","Geräte sind in einem geschlossenen Kreis verbunden, Daten werden in eine Richtung übertragen."
"Was ist eine Maschen-Topologie?","Jedes Gerät ist mit mehreren anderen Geräten verbunden, bietet hohe Redundanz."
"Welche Felder enthält ein Ethernet-Frame?","Präambel, Start Frame Delimiter, Ziel-MAC-Adresse, Quell-MAC-Adresse, Typ/Länge, Daten, Frame Check Sequence."
"Was ist das Spanning Tree Protocol (STP)?","Ein Protokoll zur Vermeidung von Schleifen in redundanten Netzwerkstrukturen."
"Welche Rolle hat der Root Port im STP?","Der Port eines Switches mit dem kürzesten Pfad zur Root Bridge."
"Was ist ein Broadcast?","Eine Nachricht, die an alle Geräte im Netzwerksegment gesendet wird."
"Was ist ein Multicast?","Eine Nachricht, die an eine definierte Gruppe von Empfängern gesendet wird."
"Was ist ein Unicast?","Eine Nachricht, die an einen einzelnen Empfänger gesendet wird."
"Was ist ein Anycast?","Eine Nachricht, die an den nächstgelegenen Empfänger aus einer Gruppe gesendet wird."
"Was ist eine Root Bridge im STP?","Der zentrale Knoten im STP-Baum, von dem aus alle Pfade berechnet werden."
"Was ist eine BPDU?","Bridge Protocol Data Unit: Nachrichten, die von Switches zum Austausch von STP-Informationen verwendet werden."
"Welche Funktion hat die Sicherungsschicht?","Regelt den Zugriff auf das Netzwerkmedium und stellt die physikalische Adressierung bereit."
"Was ist der Unterschied zwischen einem Switch und einem Hub?","Ein Switch leitet Daten gezielt weiter, ein Hub sendet Daten an alle Ports."
"Was ermöglicht ein VLAN?","Die logische Gruppierung von Netzwerkgeräten unabhängig von ihrer physischen Position."
"Was ist NAT und wofür wird es verwendet?","Network Address Translation: Übersetzt private IP-Adressen in öffentliche, um mehrere Geräte über eine IP zu verbinden."
"Was macht das ARP-Protokoll?","Ermittelt die MAC-Adresse eines Hosts basierend auf seiner IP-Adresse im lokalen Netzwerk."
"Was ist der Zweck von DNS?","Übersetzt menschenlesbare Domainnamen in IP-Adressen."
"Was ist der Vorteil von strukturierter Verkabelung?","Ermöglicht einfache Änderungen und Erweiterungen im Netzwerk durch einheitliches Verkabelungsschema."
"Wie arbeitet ein Layer 3 Switch?","Er leitet Daten basierend auf MAC-Adressen (Layer 2) und kann auch routen basierend auf IP-Adressen (Layer 3)."
"Was ist die Aufgabe der Transportschicht?","Bereitstellung zuverlässiger oder unzuverlässiger Datenübertragung zwischen Endpunkten."
"Was unterscheidet STP von RSTP?","RSTP ist eine schnellere Version von STP mit kürzeren Konvergenzzeiten."
"Wie verhindert STP Netzwerkschleifen?","Durch Deaktivierung redundanter Pfade und Auswahl eines einzigen aktiven Pfads."
"Was ist ein Designated Port im STP?","Ein Port, der für ein Netzwerksegment verantwortlich ist und Daten weiterleitet."
"Was bedeutet Unicast-Kommunikation?","Datenübertragung von einem Sender zu einem einzigen Empfänger."
"Was ist eine Maschen-Topologie und wo wird sie verwendet?","Eine Topologie mit hoher Redundanz, verwendet im Internet-Backbone."
"Wie funktioniert die Fehlerprüfung im Ethernet-Frame?","Über die Frame Check Sequence (FCS) mittels CRC (Cyclic Redundancy Check)."
